match_id,neutral_venue,toss_winner,toss_decision,eliminator
335982,0,Royal Challengers Bangalore,field,N
335983,0,Chennai Super Kings,bat,N
335984,0,Rajasthan Royals,bat,N
335985,0,Mumbai Indians,bat,N
335986,0,Deccan Chargers,bat,N
335987,0,Kings XI Punjab,bat,N
335988,0,Deccan Chargers,bat,N
335989,0,Mumbai Indians,field,N
335990,0,Rajasthan Royals,field,N
335991,0,Mumbai Indians,field,N
335992,0,Rajasthan Royals,field,N
335993,0,Kolkata Knight Riders,bat,N
335994,0,Deccan Chargers,field,N
335995,0,Delhi Daredevils,bat,N
335996,0,Chennai Super Kings,bat,N
335997,0,Kolkata Knight Riders,bat,N
335998,0,Royal Challengers Bangalore,field,N
335999,0,Kings XI Punjab,field,N
336000,0,Rajasthan Royals,bat,N
336001,0,Chennai Super Kings,bat,N
336002,0,Deccan Chargers,bat,N
336003,0,Kings XI Punjab,bat,N
336004,0,Delhi Daredevils,field,N
336005,0,Chennai Super Kings,bat,N
336006,0,Kings XI Punjab,field,N
336007,0,Deccan Chargers,field,N
336008,0,Mumbai Indians,field,N
336009,0,Chennai Super Kings,field,N
336010,0,Kolkata Knight Riders,bat,N
336011,0,Rajasthan Royals,field,N
336012,0,Mumbai Indians,field,N
336013,0,Kings XI Punjab,field,N
336014,0,Kolkata Knight Riders,bat,N
336015,0,Rajasthan Royals,field,N
336016,0,Royal Challengers Bangalore,bat,N
336017,0,Kolkata Knight Riders,bat,N
336018,0,Mumbai Indians,field,N
336019,0,Rajasthan Royals,field,N
336020,0,Deccan Chargers,field,N
336021,0,Mumbai Indians,field,N
336022,0,Delhi Daredevils,bat,N
336023,0,Royal Challengers Bangalore,field,N
336024,0,Deccan Chargers,field,N
336025,0,Kolkata Knight Riders,bat,N
336026,0,Delhi Daredevils,field,N
336027,0,Rajasthan Royals,field,N
336028,0,Mumbai Indians,field,N
336029,0,Royal Challengers Bangalore,bat,N
336031,0,Kings XI Punjab,field,N
336032,0,Delhi Daredevils,field,N
336033,0,Rajasthan Royals,bat,N
336034,0,Deccan Chargers,field,N
336035,0,Kings XI Punjab,bat,N
336036,0,Rajasthan Royals,field,N
336037,0,Deccan Chargers,bat,N
336038,0,Delhi Daredevils,field,N
336039,0,Kings XI Punjab,bat,N
336040,0,Rajasthan Royals,field,N
392181,1,Chennai Super Kings,field,N
392182,1,Royal Challengers Bangalore,bat,N
392183,1,Delhi Daredevils,field,N
392184,1,Kolkata Knight Riders,bat,N
392185,1,Chennai Super Kings,bat,N
392186,1,Kolkata Knight Riders,field,N
