Player,Country,Batting_Style,Bowling_Style
Aakash Chopra,India,Right-hand bat,Right-arm medium
Aamer Hameed,Pakistan,Right-hand bat,Right-arm medium-fast
Aamer Hanif,Pakistan,Right-hand bat,Right-arm medium
Aamer Malik,Pakistan,Right-hand bat,Right-arm fast-medium
Aamer Nazir,Pakistan,Right-hand bat,Right-arm fast-medium
Aamer Sohail,Pakistan,Left-hand bat,Slow left-arm
Aaqib Javed,Pakistan,Right-hand bat,Right-arm fast-medium
Aaron Finch,Australia,Right-hand bat,Slow left-arm
Aaron O'Brien,Australia,Left-hand bat,Slow left-arm
Aaron Phangiso,South Africa,Right-hand bat,Slow left-arm
Aaron Redmond,New Zealand,Right-hand bat,Leg-break
Aashish Kapoor,India,Right-hand bat,Off-break
Aasif Karim,Kenya,Right-hand bat,Slow left-arm
Aavishkar Salvi,India,Right-hand bat,Right-arm medium
AB de Villiers,South Africa,Right-hand bat,Right-arm medium
Abbas Ali Baig,India,Right-hand bat,Leg-break
Abdool Samad,Guyana,Right-hand bat,Off-break
Abdul Jabbar,Pakistan,Right-hand bat,Right-arm medium
Abdul Kadir,India,Right-hand bat,
Abdul Kardar,India,Left-hand bat,Slow left-arm
Abdul Qadir,Pakistan,Right-hand bat,Leg-break googly
Abdul Razzaq,Pakistan,Right-hand bat,Right-arm fast-medium
Abdul Rehman,United Arab Emirates,Right-hand bat,
Abdullah Mazari,Afghanistan,Left-hand bat,Slow left-arm
Abdur Rauf,Pakistan,Right-hand bat,Right-arm fast-medium
Abdur Razzak,Bangladesh,Left-hand bat,Slow left-arm
Abdur Rehman,Pakistan,Left-hand bat,Slow left-arm
Abe Waddington,England,Right-hand bat,Left-arm fast-medium
Abey Kuruvilla,India,Right-hand bat,Right-arm fast-medium
Abhijit Kale,India,Right-hand bat,Off-break
Abhimanyu Mithun,India,Right-hand bat,Right-arm medium
Abhinav Mukund,India,Left-hand bat,Leg-break googly
Abhishek Nayar,India,Left-hand bat,Right-arm medium
Abul Hasan,Bangladesh,Left-hand bat,Right-arm medium-fast
Abzal Dean,Trinidad and Tobago,Left-hand bat,Off-break
Adam Bacher,South Africa,Right-hand bat,Right-arm medium
Adam Dale,Australia,Left-hand bat,Right-arm fast-medium
Adam Dibble,England,Right-hand bat,Right-arm medium-fast
Adam Gilchrist,Australia,Left-hand bat,Off-break
Adam Hollioake,Australia,Right-hand bat,Right-arm medium
Adam Huckle,Zimbabwe,Right-hand bat,Leg-break googly
Adam Lyth,England,Left-hand bat,Off-break
Adam Milne,New Zealand,Right-hand bat,Right-arm fast
Adam Parore,New Zealand,Right-hand bat,
Adam Sanford,Dominica,Right-hand bat,Right-arm fast-medium
Adam Voges,Australia,Right-hand bat,Slow left-arm
Adeel Raja,Pakistan,Right-hand bat,Off-break
Adil Rashid,England,Right-hand bat,Leg-break googly
Adnan Akmal,Pakistan,Right-hand bat,
Adrian Barath,Trinidad and Tobago,Right-hand bat,Off-break
Adrian Griffith,Barbados,Left-hand bat,Right-arm medium
Adrian Kuiper,South Africa,Right-hand bat,"Right-arm medium, Off-break"
Afaq Hussain,India,Right-hand bat,Off-break
Affie Jarvis,Australia,Right-hand bat,
Afsar Zazai,Afghanistan,Right-hand bat,
Aftab Ahmed,Bangladesh,Right-hand bat,Right-arm medium
Aftab Alam,Pakistan,Right-hand bat,Right-arm medium-fast
Aftab Baloch,Pakistan,Right-hand bat,Off-break
Aftab Gul,India,Right-hand bat,Leg-break
Aftab Habib,England,Right-hand bat,Right-arm medium-fast
Aftab Shamshudeen,Guyana,Right-hand bat,Off-break
Afzaal Haider,Pakistan,Right-hand bat,Right-arm medium
Agha Saadat Ali,India,Right-hand bat,
Agha Zahid,Pakistan,Right-hand bat,Right-arm medium
Ahmed Kamal,Bangladesh,Right-hand bat,Right-arm fast-medium
Ahmed Raza,United Arab Emirates,Left-hand bat,Slow left-arm
Ahmed Shah,Afghanistan,Left-hand bat,Slow left-arm
Ahmed Shehzad,Pakistan,Right-hand bat,Leg-break
Ahsan Malik,Netherlands,Right-hand bat,Right-arm medium-fast
Aiden Blizzard,Australia,Left-hand bat,Left-arm medium
Aijaz Ali,Pakistan,Right-hand bat,Right-arm medium-fast
Aizaz Cheema,Pakistan,Right-hand bat,Right-arm medium-fast
Aizaz Khan,Hong Kong,Right-hand bat,Right-arm medium-fast
Ajantha Mendis,Sri Lanka,Right-hand bat,Right-arm slow
Ajay Jadeja,India,Right-hand bat,Right-arm medium
Ajay Ratra,India,Right-hand bat,Right-arm
Ajay Sharma,India,Right-hand bat,Slow left-arm
Ajinkya Rahane,India,Right-hand bat,Right-arm medium
Ajit Agarkar,India,Right-hand bat,Right-arm fast-medium
Ajit de Silva,Sri Lanka,Left-hand bat,Slow left-arm
Ajit Pai,India,Left-hand bat,Right-arm fast-medium
Ajit Wadekar,India,Left-hand bat,"Left-arm medium, Slow left-arm"
Ajith Weerakkody,Sri Lanka,Right-hand bat,Right-arm fast-medium
Ajmal Shahzad,England,Right-hand bat,Right-arm fast-medium
AK Sengupta,India,Right-hand bat,Leg-break googly
Akalanka Ganegama,Sri Lanka,Right-hand bat,Right-arm fast-medium
Akhtar Sarfraz,Pakistan,Left-hand bat,Left-arm medium
Akila Dananjaya,Sri Lanka,Left-hand bat,Off-break
Akram Khan,Pakistan,Right-hand bat,Right-arm medium
Akram Raza,Pakistan,Right-hand bat,Off-break
Akshar Patel,India,Left-hand bat,Slow left-arm
Al Sahariar,Bangladesh,Right-hand bat,Leg-break
Al-Amin Hossain,Bangladesh,Right-hand bat,Right-arm medium-fast
Alamgir Kabir,Bangladesh,Right-hand bat,Right-arm medium-fast
Alan Brown,England,Right-hand bat,Right-arm fast-medium
Alan Butcher,England,Left-hand bat,"Left-arm medium, Slow left-arm"
Alan Connolly,Australia,Right-hand bat,Right-arm fast-medium
Alan Davidson,Australia,Left-hand bat,Left-arm fast-medium
Alan Dawson,South Africa,Right-hand bat,Right-arm medium-fast
Alan Fairfax,Australia,Right-hand bat,Right-arm fast-medium
Alan Hurst,Australia,Right-hand bat,Right-arm fast
Alan Igglesden,England,Right-hand bat,Right-arm fast-medium
Alan Kippax,Australia,Right-hand bat,Leg-break
Alan Knott,England,Right-hand bat,Off-break
Alan Melville,South Africa,Right-hand bat,"Leg-break googly, Off-break"
Alan Moss,England,Right-hand bat,Right-arm fast-medium
Alan Mullally,England,Right-hand bat,Left-arm fast-medium
Alan Oakman,England,Right-hand bat,Off-break
Alan Smith,England,Right-hand bat,Right-arm fast-medium
Alan Thomson,Australia,Right-hand bat,Right-arm fast-medium
Alan Turner,Australia,Left-hand bat,
Alan Ward,England,Right-hand bat,Right-arm fast
Alan Wells,England,Right-hand bat,Right-arm medium
Alan Wharton,England,Left-hand bat,Right-arm medium
Alasdair Evans,England,Right-hand bat,Right-arm medium-fast
Alastair Cook,England,Left-hand bat,Off-break
Alawi Shukri,United Arab Emirates,Left-hand bat,Off-break
Albert Hartkopf,Australia,Right-hand bat,Leg-break
Albert Hornby,England,Right-hand bat,"Right-arm, Left-arm"
Albert Knight,England,Right-hand bat,
Albert Padmore,Barbados,Right-hand bat,Off-break
Albert Powell,South Africa,Right-hand bat,Right-arm
Albert Relf,England,Right-hand bat,"Right-arm medium, Off-break"
Albert Rose-Innes,South Africa,Right-hand bat,Slow left-arm
Albert Trott,Australia,Right-hand bat,"Right-arm fast-medium, Right-arm medium, Off-break"
Albert van der Merwe,South Africa,Right-hand bat,Off-break
Albert Ward,England,Right-hand bat,Right-arm slow
Albie Morkel,South Africa,Left-hand bat,Right-arm medium-fast
Alby Roberts,New Zealand,Right-hand bat,Right-arm medium
Alec Bannerman,Australia,Right-hand bat,Right-arm medium roundarm
Alec Bedser,England,Right-hand bat,Right-arm medium-fast
Alec Coxon,England,Right-hand bat,Right-arm medium-fast
Alec Davies,Pakistan,Right-hand bat,
Alec Hearne,England,Right-hand bat,Right-arm slow
Alec Hurwood,Australia,Right-hand bat,"Right-arm medium, Off-break"
Alec Stewart,England,Right-hand bat,Right-arm medium
Alester Maregwede,Zimbabwe,Right-hand bat,
Alex Cusack,Australia,Right-hand bat,Right-arm medium
Alex Doolan,Australia,Right-hand bat,Right-arm medium
Alex French,Hong Kong,Right-hand bat,Off-break
Alex Hales,England,Right-hand bat,Right-arm medium
Alex Kennedy,Scotland,Right-hand bat,Right-arm medium
Alex Loudon,England,Right-hand bat,Off-break
Alex Moir,New Zealand,Right-hand bat,Leg-break googly
Alex Obanda,Kenya,Right-hand bat,Right-arm medium-fast
Alex Tait,New Zealand,Right-hand bat,Right-arm medium
Alex Tudor,England,Right-hand bat,Right-arm fast
